Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
audiobook summaries,15%,142,14,206,3
reading apps kids,550%,862,29,235,1
eromance,12%,170,16,226,5
immersive,11%,242,5,190,0
bibilia,0%,39,5,226,8
thebiblechat,9%,120,16,237,35
digital book,0%,28,5,210,26
kjv audio holy bible,0%,17,5,225,14
yaoi manga,9%,120,14,188,7
story downloader,267%,560,23,203,27
bible app lite,0%,59,13,226,14
read the bible in one year,8%,134,15,226,11
my chemical romance,7%,122,15,216,24
free kindle app,8%,109,18,235,42
amazon audible books,8%,129,15,210,41
juxtapost,0%,32,5,213,55
aldiko,7%,131,14,15,2
free childrens books,7%,144,14,242,1
isekai isekai,0%,18,5,222,5
anime nyc,233%,684,34,203,3
free kids bible,7%,99,5,228,17
readingcom,7%,116,16,231,2
mp3 audiobook player,7%,137,13,225,18
free audible app,7%,104,16,240,37
fanfut,0%,54,5,181,7
ai book reader,7%,125,5,236,10
pen pals,7%,160,5,210,6
libby overdrive,0%,93,5,192,42
novel app,0%,45,5,238,21
bookworm free,0%,64,5,220,13
movie recommendations,6%,97,13,211,19
easy english bible,0%,98,13,220,4
apps that read to you,0%,29,5,231,40
a mangas,0%,27,5,187,38
anime comics,0%,39,5,189,11
free reader,0%,55,5,238,45
lecture,0%,26,5,175,21
storyshots,0%,26,5,220,9
daily read,0%,32,5,201,12
barnes and noble bookstore,0%,58,5,130,27
tiny book shop,6%,131,13,220,30
book reading app free,0%,39,5,239,42
new king james version,0%,32,13,218,3
i book,0%,44,5,218,20
audible premium plus,0%,102,5,223,37
free stories,6%,126,5,240,31
spotify audiobooks,0%,63,5,199,32
read it to me,0%,35,5,164,10
romance fate,0%,86,5,214,13
immersion,0%,28,5,175,0
