Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
ai voice generator speechify,40%,504,22,222,17
aspire news,22%,346,22,238,37
ny2la,16%,329,19,103,4
storyful,15%,309,17,206,28
moviehd,13%,260,18,216,57
austin news,13%,394,14,231,6
movie box app,13%,159,20,220,49
immersive,11%,242,5,190,0
tech crunch,12%,200,17,157,19
eromance,12%,170,16,226,5
the free press,483%,11017,52,214,39
9 news app,9%,139,15,213,11
speech to text voice to text,8%,167,17,224,8
yaoi manga,9%,120,14,188,7
movie box 2,50%,144,16,215,62
free kindle app,8%,109,18,235,42
my chemical romance,7%,122,15,216,24
serial reader,8%,118,16,214,10
economic,8%,63,5,147,20
isekai isekai,0%,18,5,222,5
abc action news,7%,60,5,228,19
newsbang,7%,153,19,217,21
market news,7%,38,5,212,21
science daily,0%,30,5,155,8
readingcom,7%,116,16,231,2
espresso from the economist,0%,13,5,191,28
barron’s investing insights,7%,124,13,220,9
defense news,0%,6,5,218,5
free audible app,7%,104,16,240,37
lecture,0%,26,5,175,21
kara swisher,0%,72,5,228,7
free stories,6%,126,5,240,31
news now,0%,26,5,242,29
after dark,6%,103,5,206,9
euro news,0%,,5,208,22
break news,0%,34,5,224,19
novel app,0%,45,5,238,21
bloomberg law,0%,66,5,191,27
nyt connections,0%,78,5,222,21
read comics,6%,136,14,190,10
ny times connections,0%,46,5,209,22
livros,6%,74,14,180,30
n y times,0%,55,5,195,39
the economist podcast,6%,76,5,185,28
my times,0%,12,5,195,42
huffpost news politics,0%,25,5,194,35
movie max movies tv shows,0%,102,5,222,83
apps that read to you,0%,29,5,231,40
bonaok,0%,27,5,224,16
abc local news,0%,27,5,238,6
