Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
nyc subway widget,89%,744,31,168,22
ice block,14%,130839,58,192,21
ride on real time,22%,217,18,226,0
wavve,904%,8437,46,141,65
usgs maps,17%,215,21,194,24
fasrewards,13%,151,21,26,10
veyz,10%,203,17,177,23
national forest explorer,0%,10,5,139,17
elk nut,9%,93,17,26,0
sg bus,0%,9,5,213,0
way 2 go,9%,117,18,214,29
hps,9%,161,15,195,38
rpm speed,9%,112,15,214,3
depth app,0%,43,5,185,6
go durham,0%,7,5,132,8
loves connect,33%,130,14,224,47
tren urbano app,8%,101,16,234,32
find my bus,8%,98,18,207,3
transit stop cta tracker,8%,123,14,171,17
boating maps,8%,107,15,79,8
avena,7%,154,17,77,0
goodmaps,7%,82,5,213,29
surveyor,0%,13,5,208,9
save gas,0%,29,5,213,49
car play app,0%,29,5,225,40
автобусы онлайн,0%,21,5,206,0
plug and charge,7%,85,5,232,14
trail guide,0%,30,5,210,28
google traffic,7%,121,5,167,29
biking trails,7%,137,14,219,17
lake map,-46%,209,13,90,9
برنامه اسنپ,7%,104,14,74,39
havaist,6%,88,15,24,1
parallel parking,6%,89,14,224,11
boating map,7%,107,15,69,9
rutas,7%,117,13,164,32
waise,-30%,178,13,193,31
rails to trails,7%,121,15,199,15
on x maps,7%,95,14,215,22
satellite images,0%,29,5,213,16
measure land,0%,13,5,225,5
app free,0%,27,5,248,86
سیب آپ,0%,44,5,25,51
lake erie boating weather,6%,86,5,205,15
nyc runs,0%,20,5,170,3
charge point ev charging app,6%,28,5,208,24
kml,0%,45,15,170,4
streets,6%,101,22,156,19
gps mapping,5%,90,5,174,11
toronto blue jays,0%,145,17,144,10
