Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
ca dmv permit test,85%,1170,35,214,6
focus parent portal,89%,1565,41,227,0
my backpack,27%,400,26,57,4
campus parent portal,967%,1028,32,215,8
parents square,19%,262,26,210,19
ocps,18%,276,22,85,0
educational games for kids free,15%,137,15,237,4
math games free,642%,1283,30,238,17
reading apps kids,550%,862,29,235,1
infinite campus portal,12%,176,18,204,7
ctls parent,13%,230,24,233,0
skyward qmlativ,456%,914,33,145,1
speak pal,11%,188,19,231,5
liveschool parent,11%,225,28,199,0
back to school,12%,203,22,168,13
k12 student,10%,174,21,200,3
kindergarden game,10%,183,16,225,1
perusall,10%,246,15,200,5
georgia drivers license,10%,226,18,238,1
identify mushrooms,10%,154,18,204,4
ap classroom,408%,7108,37,209,6
flocabulary,383%,449,26,188,15
nerdish,10%,112,16,52,27
learning korean,50%,185,16,213,3
1st grade,383%,393,24,185,0
fluentika,8%,131,18,233,3
mushroom identification,9%,124,17,205,0
learn it,50%,184,16,186,14
parentview,8%,113,19,243,13
abckids,9%,124,16,214,1
learn turkish,354%,784,27,206,6
school speak,9%,136,15,194,12
learning game for kids,0%,36,5,244,9
study island,8%,141,22,233,20
labubu world,289%,6112,44,40,42
ecisd parent portal,8%,115,16,202,0
callannie,8%,100,15,74,11
fun fact of the day,8%,133,16,171,5
games for kids 4 5 years old free,0%,32,5,248,5
vccs,7%,145,17,183,44
campus students,348%,1915,35,206,19
infinite campus student,275%,602,26,215,11
peppa pig games for free,7%,141,21,193,37
preschool games for kids,8%,157,16,242,7
free vocabulary app,33%,168,16,244,12
kids game free,225%,,24,245,17
infinite campus parent portal,345%,2351,38,211,19
ava the 3d doll,289%,11003,45,222,60
nice game,7%,99,14,229,85
al driver test,6%,130,13,243,2
