Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
teaborn,"1,045%",62937,75,123,24
matchapp,41%,895,40,161,27
date a live,892%,2363,34,209,14
mature dating app,22%,263,16,213,25
tinder social,20%,246,16,200,51
threesomer,19%,280,16,58,23
poly dating app,16%,304,23,227,32
threesomes,17%,324,16,181,19
chat for girls,15%,306,20,201,21
men tea app,12%,570,37,216,61
meet real people,11%,96,5,202,52
lgbtq dating apps,11%,296,17,230,57
lesbian apps,11%,159,18,221,47
mindful dating,10%,144,5,213,12
eufy lights,0%,26,5,237,13
stove,10%,149,16,225,9
tourbar,9%,106,13,243,37
alexa show,8%,122,16,212,35
metic,0%,34,5,94,28
invitaciones apple,0%,21,5,204,32
bisexual dating,9%,117,5,214,48
repairs,9%,106,5,175,16
lgbtq dating app,9%,202,15,230,63
frnds of frnds llc,333%,442,25,149,0
tea app for women,344%,109738,74,199,69
free find a friend app,9%,159,16,223,39
dating apps for couples,9%,148,15,238,51
best app,9%,146,16,236,99
inmessage meet chat date,9%,175,23,192,48
hookup near me,0%,32,5,188,27
ace dating,7%,123,16,217,31
meet couples,7%,67,5,228,36
bumble date,0%,15,5,225,71
hinge dating app match meet,8%,100,14,196,65
monkey chat app,8%,205,13,202,72
coded runs,8%,208,15,215,19
plus minus,33%,140,14,174,8
meet and chat,8%,174,17,200,14
match and chat,267%,236,18,197,28
blunk home monitor,287%,935,28,186,11
couples dating,290%,1650,30,222,32
ford carplay,0%,32,5,139,15
teenage dating app,0%,29,5,238,57
tantan app,0%,30,5,232,38
home for rent,6%,78,5,213,52
make friends app,6%,130,16,204,40
free birthday invitation,7%,74,14,234,11
samsung oven,17%,166,14,233,25
sentrilock real estate,7%,110,14,154,22
hinges,7%,83,14,199,46
