Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
bitchat,"3,787%",63753,59,29,62
aspire news,22%,346,22,238,37
ny2la,16%,329,19,103,4
storyful,15%,309,17,206,28
noaa radio,13%,239,15,232,43
local 10 news,13%,181,19,244,1
austin news,13%,394,14,231,6
woai news 4,12%,186,13,239,5
tech crunch,12%,200,17,157,19
the free press,483%,11017,52,214,39
redgifs app,195%,5506,35,215,42
free radio app,9%,197,14,237,32
online social games,9%,101,14,215,26
police man,60%,133,16,224,4
9 news app,9%,139,15,213,11
nbcdfw,8%,160,5,60,11
juxtapost,0%,32,5,213,55
crime near me,8%,217,5,188,35
putnam ready,0%,22,5,244,18
nbc ny,0%,33,5,222,9
wildfires,8%,83,13,183,19
blog app,0%,31,5,154,33
verify doppelganger,8%,115,17,221,31
economic,8%,63,5,147,20
free podcast app,6%,58,5,237,48
science daily,0%,30,5,155,8
aegix aim,0%,45,5,246,18
espresso from the economist,0%,13,5,191,28
abc action news,7%,60,5,228,19
defense news,0%,6,5,218,5
market news,7%,38,5,212,21
fox 29,6%,105,5,205,18
player app,0%,30,5,223,41
crime radar,241%,1249,36,203,40
acquired podcast,263%,380,22,215,16
newsbang,7%,153,19,217,21
barron’s investing insights,7%,124,13,220,9
christian podcast,7%,85,14,227,12
local fm radio,213%,511,23,224,30
car play app,0%,29,5,225,40
ai podcast maker,6%,99,14,238,13
free adult video chat,159%,977,27,190,15
bloomberg law,0%,66,5,191,27
free tiktok,0%,28,5,215,47
fox29,0%,40,5,220,18
ipodcasts,0%,38,5,228,16
my times,0%,12,5,195,42
nyt connections,0%,78,5,222,21
kara swisher,0%,72,5,228,7
abc local news,0%,27,5,238,6
