Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
旅客,65%,1032,30,201,0
felyx,35%,362,22,28,10
trips planner,17%,152,14,223,24
zenhotels,389%,742,26,238,52
turismo,0%,38,5,172,72
my dream hotel,9%,167,16,224,10
marta breeze,8%,157,5,59,4
onlime,9%,217,5,229,36
travel japan,8%,175,16,173,9
hotel now,7%,43,5,224,68
travel agent,8%,125,15,227,56
uber go,0%,32,5,209,75
ird,0%,32,5,197,14
car parki,7%,42,5,199,28
theme parks,7%,58,5,207,54
airways,7%,114,5,222,39
double tree,0%,6,5,162,29
waise,7%,178,13,193,31
hotell,0%,30,5,214,65
flit,6%,71,13,218,48
chase marriott bonvoy,7%,97,15,204,58
loves connect,7%,130,14,224,47
سكك حديد مصر,6%,118,14,31,0
flight hopper,6%,63,14,214,62
air express,6%,85,14,247,51
tourist,0%,44,5,125,24
flighty app,0%,68,5,232,25
rental app,0%,27,5,236,53
taxi service,0%,96,5,217,53
flight alert,0%,57,5,217,48
city guide,0%,48,5,183,36
price labs,0%,32,5,214,29
embassy,0%,53,5,155,13
itineraries,0%,57,5,225,16
cheap ticket,0%,26,5,209,52
디즈니,0%,56,5,205,39
travelers mobile,0%,23,5,216,2
bolt driver app,0%,13,5,233,35
going app,0%,15,5,222,51
park city showcase of homes,0%,36,5,195,33
delta kim,6%,128,5,51,21
walking tours,0%,96,5,187,11
euro star,0%,28,5,70,16
blabla car,0%,11,5,216,45
taxi now,0%,26,5,228,26
ibet,0%,78,5,213,27
europcar car van hire,0%,38,5,217,45
cheap hotels hotel deals,0%,35,5,203,50
skyscanner flights hotels cars,0%,28,5,228,44
premier inn,0%,25,5,210,57
