Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
live weather,76%,2419,28,217,36
purple air quality,656%,1514,32,211,2
live weather app,683%,1627,22,166,51
noaa radio,13%,239,15,232,43
wgal weather,33%,232,15,237,24
noaa weather alerts,12%,227,13,240,34
flood map,10%,192,14,184,5
free hurricane tracker,43%,146,15,226,12
nbc chicago weather app,10%,180,15,233,23
my alerts,9%,149,13,212,36
the weather channel free,9%,156,14,240,47
wetteronline,9%,141,14,98,6
daily weather,8%,66,5,230,19
myaurora,0%,24,5,175,2
ford carplay,0%,32,5,139,15
nbcdfw,8%,160,5,60,11
saily app,0%,30,5,232,33
live tracking,0%,31,5,221,41
wildfires,8%,83,13,183,19
boating maps,8%,107,15,79,8
wtoc,7%,171,14,39,0
clime noaa,8%,108,14,216,19
heavy rain,8%,173,13,184,0
boating map,7%,107,15,69,9
i drive arkansas,7%,88,18,157,4
foxweather,7%,56,5,235,10
noaa hurricane,188%,462,21,219,5
car play app,0%,29,5,225,40
nick hausen weather,0%,16,5,243,5
satellite images,0%,29,5,213,16
radar pro,6%,38,5,225,41
saltwater tides,0%,27,5,155,5
radarr,0%,17,5,184,45
the national weather service,6%,56,5,237,24
kcci weather app,0%,27,5,238,24
wind map,0%,34,5,188,22
temperature map,6%,36,5,194,15
magicseaweed,6%,108,5,217,6
wind meter,0%,32,5,221,8
waves app,0%,71,5,220,23
road trip weather,6%,83,5,216,38
tide forecast,0%,27,5,186,19
apple watch weather apps,0%,65,5,215,38
accuweather free,0%,26,5,169,30
drive weather app,0%,13,5,201,37
hurricane app,0%,34,5,216,32
myradar weather radar pro,0%,53,5,235,61
storm watch,0%,18,5,237,34
weatherunderground,0%,43,5,217,49
weather the weather channel,0%,39,5,243,25
