Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
code moo,"2,037%",21182,52,228,43
the open,"8,646%",27644,57,226,7
chick fil a game,201%,2145,35,181,24
chick fil a play,"2,169%",16532,50,212,36
chickfilla,26%,248,20,219,73
chick fill a,578%,774,27,172,85
chick fa la,629%,589,25,161,96
target circle app,12%,199,16,222,93
chcikfila,394%,1274,31,210,84
chick fli a,409%,142681,65,189,92
hto,9%,93,18,26,6
truffle,9%,173,16,42,0
best app,9%,146,16,236,99
m perks,9%,118,19,116,51
food book,9%,93,5,210,37
tea app,344%,187476,78,159,53
philly pretzel factory,291%,2312,35,137,38
chick fil a one,400%,1324,30,215,51
uber go,0%,32,5,209,75
chick fil,341%,1098,29,224,95
box drive,7%,142,13,176,50
the tea app,288%,190521,77,169,65
kfc rewards,288%,10205,49,198,96
chick fil a inc,343%,6828,42,221,61
the cheesecake factory rewards,0%,19,5,208,83
chich fil a,7%,85,5,204,67
cfa one,7%,76,14,93,29
bood,7%,83,14,234,66
kfc barbados,7%,77,14,214,1
buffalo wild,6%,125,5,170,39
tgi,0%,30,5,67,1
spark now,7%,110,5,123,66
chick fil a,239%,67310,59,220,97
target com circle,0%,78,5,47,43
chik fil a,239%,53421,57,194,96
food deliver,0%,62,5,227,73
tonyburgers rewards,0%,19,5,235,42
kfc us,0%,57,5,199,16
mealme,0%,119,5,243,46
delta kim,0%,128,5,51,21
cheap food delivery,0%,28,5,237,58
dumb ways jr,0%,36,5,26,24
food shop,0%,32,5,238,62
oder,0%,28,5,228,54
pizza restaurant,0%,26,5,187,70
order ahead,0%,53,5,230,26
domino app,0%,102,5,204,39
chick,238%,6345,42,160,63
chick fila,238%,2783,35,211,96
bjs app,6%,112,14,221,76
