Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
teaborn,"1,045%",62937,75,123,24
matchapp,47%,895,40,161,27
date a live,892%,2363,34,209,14
mature dating app,19%,263,16,213,25
threesomer,17%,280,16,58,23
tinder social,18%,246,16,200,51
poly dating app,167%,304,23,227,32
ch3 plus,825%,707,30,171,18
chat for girls,15%,306,20,201,21
men tea app,15%,570,37,216,61
threesomes,15%,324,16,181,19
inmessage meet chat date,14%,175,23,192,48
adult friend finder app,13%,100,14,183,20
lesbian apps,11%,159,18,221,47
lgbtq dating apps,-50%,296,17,230,57
tea app for women,409%,109738,74,199,69
eufy lights,0%,26,5,237,13
skout chat,10%,64,14,194,44
best app,9%,146,16,236,99
dating apps for couples,9%,148,15,238,51
free find a friend app,50%,159,16,223,39
tochat meet new friends,333%,598,28,203,31
frnds of frnds llc,26%,442,25,149,0
alexa show,8%,122,16,212,35
stove,8%,149,16,225,9
lgbtq dating app,9%,202,15,230,63
metic,0%,34,5,94,28
invitaciones apple,0%,21,5,204,32
ace dating,8%,123,16,217,31
mindful dating,9%,144,5,213,12
meet real people,9%,96,5,202,52
tea app,344%,187476,78,159,53
blunk home monitor,287%,935,28,186,11
ford carplay,0%,32,5,139,15
meet and chat,0%,174,17,200,14
repairs,8%,106,5,175,16
bisexual dating,8%,117,5,214,48
hookup near me,0%,32,5,188,27
tourbar,8%,106,13,243,37
mysmartled,8%,114,21,47,9
coded runs,-43%,208,15,215,19
hinge dating app match meet,8%,100,14,196,65
foreign dating,8%,129,16,215,20
gleeden,300%,1222,33,51,40
the tea app,288%,190521,77,169,65
tea app for men,287%,16869,60,209,88
bumble date,0%,15,5,225,71
couples dating,239%,1650,30,222,32
tea safe dating for women,7%,217,29,199,16
online chats,7%,67,13,210,14
