Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
bitchat,"3,787%",63753,59,29,47
aspire news,26%,346,22,238,37
the free press,"1,049%",11017,52,214,39
ny2la,19%,329,19,103,4
local 10 news,15%,181,19,244,1
crime and place,15%,115,16,115,11
noaa radio,117%,239,15,232,43
storyful,13%,309,17,206,28
tech crunch,12%,200,17,157,19
austin news,11%,394,14,231,6
woai news 4,10%,186,13,239,5
online social games,9%,101,14,215,26
verify doppelganger,9%,115,17,221,31
free radio app,9%,197,14,237,32
crimewatch,9%,80,15,211,36
9 news app,9%,139,15,213,11
juxtapost,0%,32,5,213,55
putnam ready,0%,22,5,244,18
wildfires,8%,83,13,183,19
nbc ny,0%,33,5,222,9
blog app,0%,31,5,154,33
newsbang,8%,153,19,217,21
crime radar,288%,1249,36,203,40
free podcast app,6%,58,5,237,48
economic,7%,63,5,147,20
science daily,0%,30,5,155,8
aegix aim,0%,45,5,246,18
espresso from the economist,0%,13,5,191,28
defense news,0%,6,5,218,5
crime near me,-65%,217,5,188,35
player app,0%,30,5,223,41
mrs g,7%,32,5,222,45
barron’s investing insights,7%,124,13,220,9
christian podcast,7%,85,14,227,12
car play app,0%,29,5,225,40
acquired podcast,314%,380,22,215,16
nbcdfw,7%,160,5,60,11
nyt connections,0%,78,5,222,21
my times,0%,12,5,195,42
ipodcasts,0%,38,5,228,16
fox29,6%,40,5,220,18
news channel 5,6%,25,5,237,2
abc local news,0%,27,5,238,6
free tiktok,0%,28,5,215,47
bloomberg law,0%,66,5,191,27
nbc washington,0%,88,5,235,21
euro news,0%,,5,208,22
ress,0%,43,5,207,38
kara swisher,0%,72,5,228,7
the economist podcast,6%,76,5,185,28
