Keyword,Growth (Max Reach),Max. Reach,Volume,No. of results,Difficulty
live weather,66%,2419,28,217,36
purple air quality,764%,1514,32,211,2
live weather app,583%,1627,22,166,51
noaa radio,117%,239,15,232,43
noaa weather alerts,12%,227,13,240,34
nbc chicago weather app,10%,180,15,233,23
wetteronline,9%,141,14,98,6
my alerts,9%,149,13,212,36
flood map,9%,192,14,184,5
saily app,0%,30,5,232,33
live tracking,0%,31,5,221,41
ford carplay,0%,32,5,139,15
myaurora,0%,24,5,175,2
i drive arkansas,8%,88,18,157,4
the weather channel free,33%,156,14,240,47
clime noaa,8%,108,14,216,19
wildfires,8%,83,13,183,19
boating maps,8%,107,15,79,8
satellite images,0%,29,5,213,16
foxweather,7%,56,5,235,10
nbcdfw,7%,160,5,60,11
nick hausen weather,0%,16,5,243,5
car play app,0%,29,5,225,40
daily weather,7%,66,5,230,19
boating map,7%,107,15,69,9
my tide times,7%,86,14,168,7
wtoc,6%,171,14,39,0
heavy rain,7%,173,13,184,0
beach bum tanning,283%,350,22,185,5
radarr,0%,17,5,184,45
saltwater tides,0%,27,5,155,5
radar pro,0%,38,5,225,41
the national weather service,0%,56,5,237,24
kcci weather app,0%,27,5,238,24
wind map,0%,34,5,188,22
temperature map,0%,36,5,194,15
magicseaweed,0%,108,5,217,6
wind meter,0%,32,5,221,8
waves app,0%,71,5,220,23
omega one,0%,55,5,51,13
road trip weather,6%,83,5,216,38
tide forecast,0%,27,5,186,19
drive weather app,0%,13,5,201,37
weather radar app,0%,11,5,236,67
hurricane app,0%,34,5,216,32
myradar weather radar pro,0%,53,5,235,61
storm watch,0%,18,5,237,34
wearher bug,0%,45,5,180,40
accuweather free,0%,26,5,169,30
weatherunderground,0%,43,5,217,49
